index	english	greek	isopsephy
0	abandon	αμπανντον	642
1	ability	αμπιλιτυ	871
2	able	αμπλε	156
3	about	αμπουτ	891
4	above	αμποβε	198
5	absent	αμπσεντ	676
6	absorb	αμπσορμπ	611
7	abstract	αμπστρακτ	1042
8	absurd	αμπσυρντ	1171
9	abuse	αμπυσε	726
10	access	ακκεσς	446
11	accident	ακκιντεντ	756
12	account	ακκουντ	861
13	accuse	ακκυσε	646
14	achieve	ακηιεβε	51
15	acid	ακιντ	381
16	acoustic	ακουστικ	1021
17	acquire	ακκυιρε	556
18	across	ακροσς	591
19	act	ακτ	321
20	action	ακτιον	451
21	actor	ακτορ	491
22	actress	ακτρεσς	826
23	actual	ακτυαλ	752
24	adapt	ανταπτ	732
25	add	αντντ	701
26	addict	αντντικτ	1031
27	address	αντντρεσς	1206
28	adjust	ανττζυστ	1558
29	admit	αντμιτ	701
30	adult	αντυλτ	1081
31	advance	αντβανκε	429
32	advice	αντβικε	388
33	aerobic	αερομπικ	326
34	affair	αφφαιρ	1112
35	afford	αφφορντ	1521
36	afraid	αφραιντ	962
37	again	αγκαιν	85
38	age	αγκε	29
39	agent	αγκεντ	379
40	agree	αγκρεε	134
41	ahead	αηεαντ	365
42	aim	αιμ	51
43	air	αιρ	111
44	airport	αιρπορτ	661
45	aisle	αισλε	246
46	alarm	αλαρμ	172
47	album	αλμπυμ	591
48	alcohol	αλκοηολ	229
49	alert	αλερτ	436
50	alien	αλιεν	96
51	all	αλλ	61
52	alley	αλλευ	466
53	allow	αλλου	531
54	almost	αλμοστ	641
55	alone	αλονε	156
56	alpha	αλπηα	120
57	already	αλρεαντυ	887
58	also	αλσο	301
59	alter	αλτερ	436
60	always	αλυαυς	1032
61	amateur	αματευρ	847
62	amazing	αμαζινγκ	132
63	among	αμονγκ	184
64	amount	αμουντ	861
65	amused	αμυσεντ	996
66	analyst	αναλυστ	982
67	anchor	ανκηορ	249
68	ancient	ανκιεντ	436
69	anger	ανγκερ	179
70	angle	ανγκλε	109
71	angry	ανγκρυ	574
72	animal	ανιμαλ	132
73	ankle	ανκλε	106
74	announce	αννουνκε	646
75	annual	αννυαλ	532
76	another	ανοτηερ	534
77	answer	ανσυερ	756
78	antenna	αντεννα	457
79	antique	αντικυε	786
80	anxiety	ανξιετυ	826
81	any	ανυ	451
82	apart	απαρτ	482
83	apology	απολογκυ	674
84	appear	αππεαρ	267
85	apple	αππλε	196
86	approve	αππροβε	338
87	april	απριλ	221
88	arch	αρκη	129
89	arctic	αρκτικ	451
90	area	αρεα	107
91	arena	αρενα	157
92	argue	αργκυε	529
93	arm	αρμ	141
94	armed	αρμεντ	496
95	armor	αρμορ	311
96	army	αρμυ	541
97	around	αρουνντ	971
98	arrange	αρρανγκε	280
99	arrest	αρρεστ	706
100	arrive	αρριβε	218
101	arrow	αρρου	671
102	art	αρτ	401
103	artefact	αρτεφακτ	1227
104	artist	αρτιστ	911
105	artwork	αρτυορκ	991
106	ask	ασκ	221
107	aspect	ασπεκτ	606
108	assault	ασσαυλτ	1132
109	asset	ασσετ	706
110	assist	ασσιστ	911
111	assume	ασσυμε	846
112	asthma	αστημα	550
113	athlete	ατηλετε	649
114	atom	ατομ	411
115	attack	αττακκ	642
116	attend	αττενντ	1006
117	attitude	αττιτυντε	1666
118	attract	αττρακτ	1022
119	auction	αυκτιον	851
120	audit	αυντιτ	1061
121	august	αυγκυστ	1324
122	aunt	αυντ	751
123	author	αυτηορ	879
124	auto	αυτο	771
125	autumn	αυτυμν	1191
126	average	αβεραγκε	137
127	avocado	αβοκαντο	514
128	avoid	αβοιντ	433
129	awake	αυακε	427
130	aware	αυαρε	507
131	away	αυαυ	802
132	awesome	αυεσομε	721
133	awful	αυφυλ	1331
134	awkward	αυκυαρντ	1272
135	axis	αξις	271
136	baby	μπαμπυ	641
137	bachelor	μπακηελορ	354
138	bacon	μπακον	261
139	badge	μπαντγκε	499
140	bag	μπαγκ	144
141	balance	μπαλανκε	227
142	balcony	μπαλκονυ	691
143	ball	μπαλλ	181
144	bamboo	μπαμμποο	421
145	banana	μπανανα	223
146	banner	μπαννερ	326
147	bar	μπαρ	221
148	barely	μπαρελυ	656
149	bargain	μπαργκαιν	305
150	barrel	μπαρρελ	356
151	base	μπασε	326
152	basic	μπασικ	351
153	basket	μπασκετ	646
154	battle	μπαττλε	756
155	beach	μπεακη	154
156	bean	μπεαν	176
157	beauty	μπεαυτυ	1226
158	because	μπεκαυσε	751
159	become	μπεκομε	260
160	beef	μπεεφ	630
161	before	μπεφορε	800
162	begin	μπεγκιν	208
163	behave	μπεηαβε	141
164	behind	μπεηινντ	543
165	believe	μπελιεβε	177
166	below	μπελου	625
167	belt	μπελτ	455
168	bench	μπενκη	203
169	benefit	μπενεφιτ	990
170	best	μπεστ	625
171	betray	μπετραυ	926
172	better	μπεττερ	830
173	between	μπετυεεν	885
174	beyond	μπευονντ	995
175	bicycle	μπικυκλε	605
176	bid	μπιντ	480
177	bike	μπικε	155
178	bind	μπινντ	530
179	biology	μπιολογκυ	723
180	bird	μπιρντ	580
181	birth	μπιρτη	538
182	bitter	μπιττερ	835
183	black	μπλακκ	191
184	blade	μπλαντε	506
185	blame	μπλαμε	196
186	blanket	μπλανκετ	526
187	blast	μπλαστ	651
188	bleak	μπλεακ	176
189	bless	μπλεσς	555
190	blind	μπλινντ	560
191	blood	μπλοοντ	640
192	blossom	μπλοσσομ	730
193	blouse	μπλουσε	825
194	blue	μπλυε	555
195	blur	μπλυρ	650
196	blush	μπλυση	758
197	board	μποαρντ	641
198	boat	μποατ	491
199	body	μποντυ	940
200	boil	μποιλ	230
201	bomb	μπομμπ	350
202	bone	μπονε	245
203	bonus	μπονυς	840
204	book	μποοκ	280
205	boost	μποοστ	760
206	border	μπορντερ	745
207	boring	μπορινγκ	373
208	borrow	μπορρου	860
209	boss	μποσς	590
210	bottom	μποττομ	900
211	bounce	μπουνκε	665
212	box	μποξ	250
213	boy	μπου	590
214	bracket	μπρακκετ	566
215	brain	μπραιν	281
216	brand	μπρανντ	621
217	brass	μπρασς	621
218	brave	μπραβε	228
219	bread	μπρεαντ	576
220	breeze	μπρεεζε	242
221	brick	μπρικκ	270
222	bridge	μπριντγκε	608
223	brief	μπριεφ	735
224	bright	μπριγκητ	561
225	bring	μπρινγκ	303
226	brisk	μπρισκ	450
227	broccoli	μπροκκολι	440
228	broken	μπροκεν	365
229	bronze	μπρονζε	352
230	broom	μπροομ	400
231	brother	μπροτηερ	703
232	brown	μπρουν	740
233	brush	μπρυση	828
234	bubble	μπυμπμπλε	795
235	buddy	μπυντντυ	1620
236	budget	μπυντγκετ	1198
237	buffalo	μπυφφαλο	1621
238	build	μπυιλντ	910
239	bulb	μπυλμπ	670
240	bulk	μπυλκ	570
241	bullet	μπυλλετ	885
242	bundle	μπυνντλε	955
243	bunker	μπυνκερ	695
244	burden	μπυρντεν	1025
245	burger	μπυργκερ	748
246	burst	μπυρστ	1120
247	bus	μπυς	720
248	business	μπυσινεσς	1185
249	busy	μπυσυ	1120
250	butter	μπυττερ	1225
251	buyer	μπυυερ	1025
252	buzz	μπυζζ	534
253	cabbage	καμπμπαγκε	290
254	cabin	καμπιν	201
255	cable	καμπλε	176
256	cactus	κακτυς	941
257	cage	καγκε	49
258	cake	κακε	46
259	call	καλλ	81
260	calm	καλμ	91
261	camera	καμερα	167
262	camp	καμπ	141
263	can	καν	71
264	canal	καναλ	102
265	cancel	κανκελ	126
266	candy	κανντυ	821
267	cannon	καννον	241
268	canoe	κανοε	146
269	canvas	κανβας	274
270	canyon	κανυον	591
271	capable	καπαμπλε	257
272	capital	καπιταλ	442
273	captain	καπταιν	462
274	car	καρ	121
275	carbon	καρμπον	361
276	card	καρντ	471
277	cargo	καργκο	214
278	carpet	καρπετ	506
279	carry	καρρυ	621
280	cart	καρτ	421
281	case	κασε	226
282	cash	καση	229
283	casino	κασινο	351
284	castle	καστλε	556
285	casual	κασυαλ	652
286	cat	κατ	321
287	catalog	καταλογκ	445
288	catch	κατκη	349
